"Legal guarantee","Gesetzliche Gewährleistung"
"Legal guarantee:","Gesetzliche Gewährleistung:"
"GARAN manufacturer guarantee (Garan):","GARAN Herstellergarantie (Garan):"
"Show full notice","Vollständige Mitteilung anzeigen"
"More information on the Your Europe portal","Mehr Informationen im Portal „Ihr Europa“"
"Commercial durability guarantee","Gewerbliche Haltbarkeitsgarantie"
"Manufacturer / Brand","Hersteller / Marke"
"Model identifier","Modellkennung"
"Guarantee duration (years)","Garantiedauer (Jahre)"
"EU Guarantee","EU-Garantie"
"Years","Jahre"
"Standard","Standard"
"Compact","Kompakt"
"-- Please Select --","-- Bitte wählen --"
"Notice as PDF:","Mitteilung als PDF:"
"Your Europe portal","Portal „Ihr Europa“"
"Show notice","Mitteilung anzeigen"
"Show guarantee label","Kennzeichnung anzeigen"
"Durability: %1 years","Haltbarkeit: %1 Jahre"
"Notice (PDF)","Mitteilung (PDF)"
"Commercial durability guarantee: %1 years","Gewerbliche Haltbarkeitsgarantie: %1 Jahre"
"Colour","Farbe"
"Black and white","Schwarzweiß"
"Bulgarian","Bulgarisch"
"Czech","Tschechisch"
"Danish","Dänisch"
"German","Deutsch"
"Greek","Griechisch"
"English","Englisch"
"Spanish","Spanisch"
"Estonian","Estnisch"
"Finnish","Finnisch"
"French","Französisch"
"Irish","Irisch"
"Croatian","Kroatisch"
"Hungarian","Ungarisch"
"Italian","Italienisch"
"Lithuanian","Litauisch"
"Latvian","Lettisch"
"Maltese","Maltesisch"
"Dutch","Niederländisch"
"Polish","Polnisch"
"Portuguese","Portugiesisch"
"Romanian","Rumänisch"
"Slovak","Slowakisch"
"Slovenian","Slowenisch"
"Swedish","Schwedisch"
